"topic","course_name","level","price"
"Internet","Strategi Online Marketing: Bagaimana cara mendapatkan lebih banyak trafik?","Intermediate",344433.00
"Copywriting","Tingkatkan Sales dengan Copywriting Menarik","Intermediate",439816.00
"Keyword research","Menempati peringkat #1 dengan Mastering Keyword Reasearch ","Intermediate",289730.00
"Copywriting","Tingkatkan Sales dengan Copywriting Menarik","Intermediate",220317.00
"Marketing analytics","Analisis Marketing dan Manajemen Bisnis Retail","Intermediate",405116.00
"Tik Tok Marketing","TIngkatkan Sales Bisnismu dengan Content yang Viral dan Menaikkan Pertumbuhan Followers","Intermediate",401973.00
"Tik Tok Marketing","TIngkatkan Sales Bisnismu dengan Meningkatkan Pertumbuhan Followers","Intermediate",269219.00
"Python ","Analisis Marketing menggunakan Python","Intermediate",435239.00
"Machine Learning","Machine Learning menggunakan Python dan R","Intermediate",591822.00
"Machine Learning","Analisis Segmentasi Pelanggan menggunakan Python ","Intermediate",509077.00
"JavaScript ","Advanced JavaScript","Intermediate",614999.00
"Financial Analysis","Kelas Pelatihan Keuangan untuk para Analis Finansial","Intermediate",269423.00
"Financial Modeling","Kelas Perencanaan dan Prediksi Finansial menggunakan Excel","Intermediate",317250.00
"Financial Management","Kelas Pelatihan untuk menjadi Manajer Keuangan ","Intermediate",286991.00
"Banking","Belajar Inovasi pada Digital Banking","Intermediate",255990.00
"Tableau","Advanced Tableau menggunakan ekspresi Level of Detail ","Intermediate",244713.00
"Internet","Strategi Online Marketing: Bagaimana cara mendapatkan lebih banyak trafik?","Intermediate",344433.00
"Copywriting","Tingkatkan Sales dengan Copywriting Menarik","Intermediate",439816.00
"Keyword research","Menempati peringkat #1 dengan Mastering Keyword Reasearch ","Intermediate",289730.00
"Copywriting","Tingkatkan Sales dengan Copywriting Menarik","Intermediate",220317.00
"Marketing analytics","Analisis Marketing dan Manajemen Bisnis Retail","Intermediate",405116.00
"Tik Tok Marketing","TIngkatkan Sales Bisnismu dengan Content yang Viral dan Menaikkan Pertumbuhan Followers","Intermediate",401973.00
"Tik Tok Marketing","TIngkatkan Sales Bisnismu dengan Meningkatkan Pertumbuhan Followers","Intermediate",269219.00
"Python ","Analisis Marketing menggunakan Python","Intermediate",435239.00
"Machine Learning","Machine Learning menggunakan Python dan R","Intermediate",591822.00
"Machine Learning","Analisis Segmentasi Pelanggan menggunakan Python ","Intermediate",509077.00
"JavaScript ","Advanced JavaScript","Intermediate",614999.00
"Financial Analysis","Kelas Pelatihan Keuangan untuk para Analis Finansial","Intermediate",269423.00
"Financial Modeling","Kelas Perencanaan dan Prediksi Finansial menggunakan Excel","Intermediate",317250.00
"Financial Management","Kelas Pelatihan untuk menjadi Manajer Keuangan ","Intermediate",286991.00
"Banking","Belajar Inovasi pada Digital Banking","Intermediate",255990.00
"Tableau","Advanced Tableau menggunakan ekspresi Level of Detail ","Intermediate",244713.00
